#;Column;Type
0;publishedsince;object
1;carmodel;category
2;price;float64
3;année;float64
4;miseencirculation;datetime64
5;contrôletechnique;object
6;kilométragecompteur;float64
7;énergie;category
8;boîtedevitesse;category
9;couleurextérieure;category
10;nombredeportes;float64
11;nombredeplaces;float64
12;garantie;object
13;premièremain(déclaratif);object
14;nombredepropriétaires;float64
15;puissancefiscale;float64
16;puissancedin;float64
17;crit'air;float64
18;émissionsdeco2;float64
19;consommationmixte;float64
20;normeeuro;object
21;options;object
22;departement;int64
23;id;int64
24;waranty;object
25;vendeur;object
26;vérifié&garanti;object
27;rechargeable;object
28;autonomiebatterie;object
29;capacitébatterie;object
30;conso.batterie;object
31;couleurintérieure;object
32;puissancemoteur;object
33;primeàlaconversion;object
34;garantieconstructeur;object
35;provenance;object
36;prixinclutlabatterie;object
37;voltagebatterie;object
38;intensitébatterie;object
39;prixinclutlabatterie;object
40;marque;object
41;model;object
42;age_vehicule;float64
43;prix_par_km;float64
